,labels,text
0,6,"O TCU tem competência para fiscalizar a aplicação dos recursos do Fundeb nos municípios quando houver repasse da União a título de complementação ao referido fundo. No entanto, eventual condenação em débito deve se limitar ao montante dos recursos federais transferidos."
1,6,"Não compete ao TCU apreciar, para fins de registro, a legalidade das admissões e concessões de aposentadorias, reformas e pensões relacionadas ao pessoal da Polícia Militar, da Polícia Civil, do Corpo de Bombeiros Militar e das Secretarias de Estado de Saúde e de Educação do Distrito Federal, remunerados com recursos oriundos do Fundo Constitucional do Distrito Federal, sem prejuízo do exercício da competência do Tribunal de fiscalizar os gastos decorrentes do FCDF, com fundamento no art. 71, inciso VI, da Constituição Federal."
2,6,"Compete ao TCU a apreciação da constitucionalidade das leis e dos atos do Poder Público em caráter incidental e a cada caso concreto que lhe é submetido (Súmula STF 347) , com efeitos apenas entre as partes, haja vista que a declaração de inconstitucionalidade em abstrato, com efeito <i>erga omnes</i>, compete somente ao STF. "
3,6,"É possível a expedição de determinação pelo TCU para a correção de ato normativo elaborado por agência reguladora quando verificada ineficácia nas ações de regulação ou omissão no tratamento concedido à matéria sob sua tutela, sem que isso caracterize intromissão na autonomia funcional da agência, uma vez que é dever do Tribunal verificar se as agências estão a cumprir adequadamente seus objetivos institucionais, entre os quais o de fiscalizar e regular as atividades sob sua esfera de competência."
4,6,"O TCU não tem competência, no âmbito do Programa Mais Médicos, para intervir nas relações estabelecidas entre o governo cubano e a Organização Pan-Americana da Saúde (OPAS) , uma vez que essas relações se assemelham àquelas constituídas por dois estados estrangeiros, já que ambos possuem imunidade de jurisdição."
5,6,"No âmbito do Programa Mais Médicos, a competência do TCU para expedir determinações à Organização Pan-Americana de Saúde (OPAS) restringe-se a demandar o adimplemento das obrigações assumidas no 80º Termo de Cooperação Técnica e nos Termos de Ajustes firmados entre a organização internacional e o governo brasileiro."
6,6,"Em licitação para registro de preços com critério de adjudicação pelo menor preço global por grupo (lote) de itens, não compete ao TCU prescrever como deverá a Administração proceder na necessidade momentânea de adquirir apenas alguns itens, pois tal decisão encontra-se na esfera discricionária do gestor, devendo ser avaliada caso a caso."
7,6,"A aprovação das contas do gestor no âmbito do controle externo estadual ou municipal não gera impacto ou vincula a atuação do TCU, em razão da independência das instâncias e da jurisdição do Tribunal sobre os recursos da União, outorgadas pela Constituição Federal. "
8,6,"Na execução de convênio, a rescisão de contrato por irregularidades identificadas no edital, mesmo quando realizada previamente ao início da prestação dos serviços, não afasta a competência do TCU para apurar as responsabilidades dos agentes que concorreram para a falha, pois a observância pelo convenente das normas publicadas pela União relativas à aquisição de bens e à contratação de serviços e obras é requisito necessário ao recebimento de transferências voluntárias, e o ato de entrega dos recursos é caracterizado no momento da assinatura do convênio, não se confundindo com as liberações financeiras de recursos, que devem obedecer ao cronograma de desembolso, consoante disposto nas leis de diretrizes orçamentárias."
9,6,O TCU não possui competência para apurar a ocorrência de infração funcional cometida por servidor de órgão ou entidade submetido à sua jurisdição.
